Designator;Mid X;Mid Y;Layer;Rotation
U1;155,3 mm;109,91 mm;Top;135
U2;118,999 mm;120,4214 mm;Top;-90
Y1;167,52 mm;121,81 mm;Top;45
C1;164,51 mm;124,55 mm;Top;-45
C2;170,67 mm;119,07 mm;Top;-45
C3;112,66 mm;120,19 mm;Top;-90
C4;125,12 mm;120,21 mm;Top;-90
C5;139,42 mm;113,57 mm;Top;135
C6;157,96 mm;97,12 mm;Top;-45
C7;167,78 mm;115,44 mm;Top;-135
C8;162,01 mm;121 mm;Top;-135
C9;149,52 mm;123,1 mm;Top;135
C10;168,11 mm;107,04 mm;Top;-45
R1;164,31 mm;118,84 mm;Top;-135
R2;194,53 mm;124,55 mm;Top;-90
R3;191,84 mm;124,47 mm;Top;90
R4;119,12 mm;105,14 mm;Top;180
R5;119,1006 mm;107,4928 mm;Top;180
R6;133,74 mm;129,17 mm;Top;-90
R7;145,91 mm;129,86 mm;Top;-90
R8;168,81 mm;130,14 mm;Top;-90
R9;178,32 mm;129,94 mm;Top;-90
D1;129,5459 mm;130,2012 mm;Top;180
D2;140,61 mm;130,2 mm;Top;180
D3;164,25 mm;130,34 mm;Top;180
D4;174,09 mm;130,31 mm;Top;180
