Designator;Mid X;Mid Y;Layer;Rotation
U1;159.45 mm;90 mm;Top;90
U2;222.95 mm;90 mm;Top;90
U3;201.975 mm;90 mm;Top;90
U4;171.6 mm;90 mm;Top;90
U5;212.675 mm;90 mm;Top;90
U6;184.75 mm;90 mm;Top;90
U7;153.95 mm;80.4 mm;Top;90
U8;162.43 mm;78.09 mm;Top;90
U9;223.55 mm;79.275 mm;Top;180
U10;190.73 mm;72.84 mm;Top;-45
;;;;
C1;151.06 mm;88.32 mm;Top;90
C2;229.81 mm;91.47 mm;Top;-90
C3;181.675 mm;82.15 mm;Top;135
C3;181.675 mm;82.15 mm;Top;135
C4;180.475 mm;68.175 mm;Top;-135
C5;185.1 mm;63.7 mm;Top;-135
C6;154.17 mm;87.54 mm;Top;-90
C7;199.275 mm;66.525 mm;Top;135
C8;229.55 mm;84.55 mm;Top;180
C9;200.525 mm;78.375 mm;Top;-135
C10;195.7 mm;83.075 mm;Top;-135
C11;219.57 mm;72.93 mm;Top;0
C12;182.85 mm;80.9 mm;Top;135
C13;200.45 mm;65.275 mm;Top;135
C14;218.15 mm;89.4 mm;Top;90
C15;154.5 mm;91.55 mm;Top;-90
C16;197.025 mm;89.4 mm;Top;90
C17;166.875 mm;89.45 mm;Top;90
C18;208.125 mm;89.4 mm;Top;90
C19;179.75 mm;89.425 mm;Top;90
C20;151.06 mm;93.93 mm;Top;-90
C21;169.225 mm;55.475 mm;Top;0
;;;;
R1;213.575 mm;51.05 mm;Top;180
R2;213.55 mm;53.4 mm;Top;180
R3;213.475 mm;56 mm;Top;180
R4;213.475 mm;58.725 mm;Top;180
